K Kernel04 Kernel03 Kernel02 Kernel01 Scenario
1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 
5.0000000000 1.5000000000 1.5000000000 1.5000000000 1.5000000000 1.5000000000 
10.0000000000 34.6000000000 34.6000000000 34.6000000000 34.6000000000 34.6000000000 
25.0000000000 61.8000000000 61.2000000000 61.2000000000 61.2000000000 61.2000000000 
50.0000000000 74.7000000000 78.0500000000 75.5500000000 75.5500000000 75.5500000000 
100.0000000000 85.5000000000 88.3500000000 89.4000000000 88.8000000000 88.8000000000 
150.0000000000 87.9500000000 90.5500000000 93.2000000000 94.8500000000 94.0500000000 
200.0000000000 87.9500000000 90.8500000000 93.6500000000 96.2500000000 94.9500000000 
250.0000000000 88.8000000000 91.6000000000 95.5000000000 97.4000000000 96.6000000000 
300.0000000000 89.7000000000 92.4000000000 95.7500000000 97.7500000000 97.0500000000 
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
