t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Successful44 Failed2 Successful45 Successful46 Successful47 Successful48 
0.0000000000 -4.6867142042 -4.6428326078 -4.5428675929 -4.8532339176 -4.6473065376 -5.1946244713 -4.4409408811 -4.6080665468 -4.8383133758 -4.4837028582 -5.4290755708 -4.9684447827 -5.6201380482 -4.9918544463 -5.3087895156 -5.0133519594 -5.4103836435 -4.7209081895 -4.8727634542 -4.2233017793 -5.0235009519 -4.9128863945 -5.1692768963 -5.2099060300 -4.4314669572 -4.2793691674 -5.0785854335 -4.0907071368 -4.9426846786 -4.8073835913 -5.0500134075 -5.1821407560 -4.8681790225 -4.7273452366 -5.1566811722 -4.6967739010 -4.9135674682 -4.3069136728 -5.1792344128 -4.5070633342 -4.6195559382 -4.8470937804 -4.8933566907 -4.9564285415 -4.6783139861 -4.9292677073 -5.1074960578 -4.9541424027 -5.1713701892 -5.3954666681 
1.0000000000 -2.2287620284 -3.2453810970 -3.1532760718 -2.5192282522 -2.2579748739 -2.6835738688 -2.1006250545 -2.6731899595 -2.3661379650 -2.8587583472 -3.0144218452 -2.9284769210 -2.8633742342 -2.7286640958 -2.7282969574 -2.8472906889 -2.5657845397 -2.6127400152 -1.6746064685 -2.6049709920 -2.2766933379 -2.6254083884 -2.1649743247 -2.9706561143 -2.7516413875 -3.1110121470 -2.7143094095 -2.4465972203 -2.4188538420 -2.9760104802 -2.9124824564 -2.1419539968 -3.3333867213 -2.6149581058 -2.7229357624 -2.5404094366 -2.3151703603 -2.7542493897 -2.3686902765 -2.5813254227 -2.6840569573 -2.9241705114 -2.6208187270 -2.5553940460 -2.5193369593 -3.0220689597 -1.8257628844 -2.6649954685 -2.7926557134 -2.1329593423 
2.0000000000 -0.8795960013 -1.7105623847 -1.8856645559 -1.3234019839 -1.1254908905 -0.3610699020 -0.4273770425 -0.4985200970 -1.1308904713 -0.8999254919 -0.5863152779 -1.1085043848 -0.2317423834 -0.6449387404 -0.7429816797 -2.0391442237 -1.0981595219 -1.6614067766 -0.8796932916 -0.5783882886 -0.7931546210 -0.8671478223 -0.8643279736 0.1488546563 -1.2953928917 -0.8169582251 -1.1261021778 -0.2341199134 -1.1085424625 -0.9858390715 -0.7632240697 -1.0664008740 -0.3737149934 -1.4414042600 -1.3373147432 -0.6316196353 -1.3266389379 -0.0115160719 -1.2769858703 -1.0985159396 -1.2951183922 -0.9567208716 -0.6996851699 -1.0478347424 -0.0596251417 -0.9056368924 -0.3721059791 -1.2376620790 -0.8302429576 -1.6535516419 
3.0000000000 -0.8058930585 -0.1804630527 -1.7965354168 -0.8627138908 -1.1589873955 -0.3611384351 -0.1850490520 -0.8291099090 -0.3556764903 -0.1342594786 -1.1852928479 -0.3004332858 -0.2880032126 -1.0396196165 -0.5854304037 -1.9433638174 -0.7935948948 -0.1550858944 -0.2661661306 -0.4816730519 -0.6923801837 -1.6230796332 -0.9418702367 0.0248617612 -1.1704068080 -1.2512563124 -0.7660420702 0.2263204538 -1.2118846635 -0.9896345359 -1.1499482207 -3.2237343652 -0.3385052645 -1.2277694859 -0.6932788915 -0.6975288065 -0.9981567143 0.1528809186 -0.1708540958 -0.3817558079 -0.8113952317 -0.9332837771 -0.8246038686 -0.9849779710 -0.4125800645 -0.7199060336 -0.7452500260 -0.9929185456 -1.2329219460 -0.2240736132 
4.0000000000 -2.7982900529 -1.7612788555 -2.5633929879 -2.4350300470 -1.7536299457 -1.3343554003 -2.3131273597 -2.1176521338 -2.9597716782 -1.8188573922 -2.8533943348 -1.1689622580 -2.2040088973 -2.9772374291 -2.5781863361 -1.4045001156 -1.3243864105 -1.5218828969 -2.5551332009 -1.2243391430 -2.1850442423 -1.7855764921 -2.4284068579 -2.3026670335 -1.7300953308 -2.7439899201 -2.4615305981 -1.8117415241 -1.8208024560 -2.5784398864 -2.6605196398 -4.6713276770 -3.2189278408 -2.2469726477 -2.8483778160 -2.6783832722 -1.8905536523 -2.5010555344 -1.6679091585 -1.4951365698 -1.4820668763 -2.1972979378 -2.5583175669 -2.0757298902 -2.6191791217 -2.0726825053 -2.0170856994 -1.6095864714 -2.1628091603 -1.3652510012 
5.0000000000 -4.3386430625 -3.1180163296 -3.3641386092 -3.9049876711 -3.0485792690 -2.7642264374 -3.7114729735 -3.5906316131 -4.2135631524 -3.2485528532 -5.9016767304 -2.9646792783 -5.7119932096 -6.3125532957 -5.8723424357 -2.6211342594 -3.7726302258 -3.2062049174 -3.9060251738 -3.3462302530 -3.5504845020 -2.9928992900 -3.6585418083 -5.5487084104 -3.7434080706 -6.3789571985 -3.8467868579 -2.6240853117 -3.2954702537 -3.4966559828 -3.6611935905 -3.6260282041 -5.9922754363 -4.2494878221 -4.3607525507 -3.5694781439 -2.8463696858 -5.7921600969 -3.7564968919 -3.8765962340 -2.6445907668 -3.0906387438 -6.1212142406 -3.2875235654 -5.9207224950 -5.3912975196 -3.5127061513 -3.5597134057 -2.9339741197 -3.6322286825 
6.0000000000 -3.6947625583 -3.5701005904 -3.6430333428 -4.1473467946 -3.8854800035 -3.3660045236 -3.4915069853 -3.6151633143 -3.8968972258 -4.0584262032 -9.3284898499 -3.3051594085 -8.5860947255 -9.2190513235 -9.2861538121 -3.3603948305 -3.8540299370 -2.9141471363 -3.3483742868 -4.0204131948 -3.6468212308 -3.3559162060 -3.1584876403 -8.7989383626 -3.0359045698 -8.7277544087 -4.0451147866 -4.2582527761 -3.8047719692 -3.9992722128 -3.9957442376 -4.5333935509 -9.4370039505 -4.0151458325 -3.0087928458 -3.1199715104 -3.8573256777 -9.4855761882 -3.4236650703 -4.5679859960 -3.7967705150 -3.4073854519 -8.9461285249 -3.9833301005 -8.8946604896 -8.9131443454 -3.6237088357 -3.6173954410 -2.9962499810 -3.9957961854 
7.0000000000 -4.0288595171 -3.3001507592 -3.3002912897 -3.7157716393 -3.6670652936 -3.7901927369 -3.6998812676 -4.1052018448 -4.3792403116 -4.5621772870 -10.5173471158 -3.2979448548 -10.1404718724 -10.9358013276 -9.8116965406 -4.1756631080 -3.8089648005 -3.4131099418 -3.3073171861 -3.7339782435 -3.3335122442 -3.4141312893 -4.0359623538 -9.7528211748 -3.7588942048 -10.6192009231 -3.5568029904 -3.6065568013 -4.0754736715 -4.1075374967 -4.1772580423 -3.8887302789 -9.9889666683 -3.9708044395 -3.7263808444 -3.0108216522 -3.5811593243 -10.1508380734 -3.5011739046 -4.0787282060 -3.6766740290 -4.1315147421 -9.9803485753 -3.9788762032 -9.8888059738 -9.4571318999 -3.5026378629 -3.7144105924 -3.3048093122 -3.2808393033 
8.0000000000 -3.8245791902 -3.4660864663 -3.8680994102 -3.7952490192 -4.0429209126 -4.4690913567 -2.9180162817 -4.0877383021 -3.6490234282 -3.9973986030 -10.4836646383 -4.0113920681 -10.9170045036 -11.0524998633 -9.7685921387 -3.7966990004 -4.7985319651 -3.2378611095 -3.1651475080 -3.9922560175 -3.8134866812 -3.6913280828 -2.9779136819 -11.1235224691 -3.2654359137 -10.6991860002 -3.3874767147 -3.8180307132 -4.1857300595 -3.6859105127 -3.1712993919 -3.6224592970 -10.8754876447 -4.0641027208 -4.0223822280 -2.9900844693 -3.5950226452 -9.8465157843 -3.5705546503 -4.6519676820 -3.2976940892 -2.9376956126 -10.4868747839 -4.5994245994 -11.3387890945 -9.2534674159 -3.7463278202 -3.1515960976 -3.6175164809 -2.8651657523 
9.0000000000 -3.8235812621 -3.4431240901 -3.7184893073 -3.0255899300 -3.2188163692 -4.5375828197 -3.2019899275 -3.5147076032 -3.7641568625 -4.2084017196 -10.7525776736 -3.7079655106 -11.2229938490 -11.4366678501 -11.0594783146 -3.7961311982 -4.6861097837 -3.8270977609 -3.4576656540 -3.2499954510 -3.2023854593 -3.4516603926 -3.8846830557 -11.1809879514 -3.9568140840 -10.9314743248 -3.5371893924 -3.4892719890 -3.8676005959 -3.6053223428 -3.9657145234 -2.8326463030 -10.7686154425 -2.9891999622 -4.0682203559 -3.8936621877 -3.2725944155 -10.6498562169 -3.7955203809 -4.0516051989 -3.4606113897 -3.6197865956 -10.5138522578 -2.9519852342 -10.9403325949 -10.6724354302 -3.4534316195 -3.7613503049 -3.5008713935 -3.5939940051 
