t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8752123210 -4.8836050101 -6.2417973804 -3.7103643841 
1.0000000000 -2.4067211571 -2.5380622488 -4.4365850161 -1.0046150633 
2.0000000000 0.1258775710 0.0292414566 -1.1466085344 1.7716388055 
3.0000000000 2.2260133359 1.8136529872 1.1410434244 3.7864154939 
4.0000000000 3.6189051306 3.5220800902 2.3775941956 4.9315208737 
5.0000000000 4.0275828825 4.3228095922 2.6383145092 5.1268564674 
6.0000000000 3.1723736531 3.5006154842 1.9475796817 4.4425999579 
7.0000000000 0.7971111879 0.6930135710 -0.4249935350 2.4025439154 
8.0000000000 -2.9979766404 -3.7120750528 -4.4492903407 -1.8089397354 
9.0000000000 -7.4323076961 -7.4189119331 -9.0738330756 -6.0526184899 
10.0000000000 -11.0116721222 -10.7582524343 -12.7283420542 -9.8916360434 
11.0000000000 -11.6550532320 -11.2549106614 -13.0924045072 -10.2162875356 
12.0000000000 -11.4215962005 -10.9609473850 -13.2277635999 -10.0782029740 
13.0000000000 -11.1379743022 -10.7759783531 -12.9457118267 -9.9754011633 
14.0000000000 -11.0764661940 -11.3305841674 -12.1935419900 -9.8423812910 
15.0000000000 -11.1316961332 -11.2596479937 -12.5520304526 -9.7832537319 
16.0000000000 -11.0780815032 -11.1526853976 -12.6817585074 -10.0028848577 
17.0000000000 -11.1653709425 -11.4488590093 -12.6329715404 -9.9649703979 
18.0000000000 -11.3684128632 -10.8336860779 -13.0729923566 -9.9441568945 
19.0000000000 -11.5598378704 -11.5133096655 -13.2417481990 -10.2806947169 
20.0000000000 -10.8786295019 -10.7309086489 -11.8965724381 -9.4113077671 
21.0000000000 -7.3663483514 -7.5536053667 -8.8455295767 -6.1363001265 
22.0000000000 -3.4710530475 -3.9274282020 -4.5836800640 -2.2185129920 
23.0000000000 -0.8060817578 -0.5634863248 -2.2934070783 0.2741625200 
24.0000000000 0.2115932795 0.1929276854 -0.9356990368 1.7566244583 
25.0000000000 0.0206083479 0.4721504087 -1.7450317441 1.4899732082 
26.0000000000 -0.0751665872 0.7141692260 -1.3309377000 1.4741652195 
27.0000000000 0.9184513132 0.6204114811 -0.4396019575 2.1867754838 
28.0000000000 3.5801517750 3.2815000538 2.1464163091 4.8608976332 
29.0000000000 7.4645276172 6.7969135260 6.3610989962 8.6947773650 
30.0000000000 10.8751952735 10.4998469090 9.6273757091 12.0034037697 
31.0000000000 11.3716245211 11.3584488204 10.1206931847 12.6951108965 
32.0000000000 11.0495629787 11.4021328260 9.9982318606 12.4016390086 
33.0000000000 11.0375847612 11.2747107640 9.7191597513 12.1949808856 
34.0000000000 11.0578938778 11.4018661819 9.8916360716 12.2839301251 
35.0000000000 11.1196708901 11.2995229268 9.8541155683 12.6769410911 
36.0000000000 11.1753030989 10.8461673741 9.5137774945 12.3045958331 
37.0000000000 11.1331726420 10.8750569601 9.9692085480 12.6483945347 
38.0000000000 11.2982916968 11.5632943207 9.9682900526 13.0623665196 
39.0000000000 11.6248190391 11.6241894173 9.9657724359 13.0827098530 
40.0000000000 11.0041996337 10.8544907349 9.6399467209 12.1616669762 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
