t y_pred y_true y_opt_min y_opt_max
0.0000000000 -4.1611037539 -4.1340786210 -5.2853703485 -3.1134534869 
1.0000000000 -2.3694170281 -2.8143359513 -3.6251814218 -1.1966596132 
2.0000000000 -0.6109166448 -0.8760706831 -1.7606490118 0.7222902106 
3.0000000000 0.6883415616 0.7068835473 -0.3756527345 1.7624054539 
4.0000000000 1.2202747599 1.3724422276 -0.4968120112 2.5369841854 
5.0000000000 1.1871273620 1.4139724807 -0.5548859578 2.4752734439 
6.0000000000 0.8021357062 0.8763198227 -0.4604087837 2.1937662982 
7.0000000000 0.2846008104 0.6143184086 -1.2009010666 1.4450677003 
8.0000000000 -0.1268806648 0.1809799079 -1.4287124156 1.0436475432 
9.0000000000 -0.2501992092 -0.4115966546 -1.4576984870 0.8006694287 
10.0000000000 -0.2588929402 -1.0012949068 -1.6117395849 1.3975239175 
11.0000000000 -0.1577355970 -0.1676242072 -1.7636283206 2.0099343785 
12.0000000000 -0.0274619359 -0.3465219194 -1.3638270098 1.2934043923 
13.0000000000 0.0990986552 -0.0262560704 -1.0764968994 1.2438576676 
14.0000000000 0.1116637754 0.3416475923 -1.3200174286 1.2967251216 
15.0000000000 0.0919075011 0.1335834969 -1.1892306047 1.4096264633 
16.0000000000 0.0362594458 0.0322857819 -1.3972797858 1.8155022657 
17.0000000000 -0.1408200053 -0.1486143216 -1.5415475504 1.1548624193 
18.0000000000 -0.2124224232 -0.2233251208 -1.4966646938 1.2354673113 
19.0000000000 1.0082296393 0.9573419155 -0.1609434962 2.7207456311 
20.0000000000 2.7931257986 3.0994058314 1.6352056391 4.0611776012 
21.0000000000 3.4230780793 3.3702204073 1.7383639781 4.9347846480 
22.0000000000 3.9793476955 4.9629860860 2.4447755370 5.3883172657 
23.0000000000 4.2184328550 5.2924278090 2.7134728549 5.6271239286 
24.0000000000 4.0433075621 4.6461792228 2.5677592337 5.5577578134 
25.0000000000 3.1824335018 3.1257266992 1.9270005428 4.4987607779 
26.0000000000 1.7112263138 0.6574928018 0.3699637088 2.7955532891 
27.0000000000 0.2909044140 -0.5491267333 -1.3003249014 1.8845184528 
28.0000000000 -0.6117562425 -1.2158601229 -1.9599246174 0.8731422605 
29.0000000000 -0.9549387354 -1.5331261471 -2.3600910281 0.7494710472 
30.0000000000 -0.9036251519 -1.4272515422 -2.2053897758 0.4811162759 
31.0000000000 -0.5289061706 -0.7867038455 -2.2147891210 0.7797808386 
32.0000000000 -0.2092313695 -0.2585244876 -1.3344083205 1.2483354689 
33.0000000000 0.0456880725 0.3772952486 -1.1819350462 1.6386102270 
34.0000000000 0.2326392413 0.7718281263 -1.1417541277 2.0101479945 
35.0000000000 0.2110759048 0.0477346076 -0.8522706261 1.6429961603 
36.0000000000 0.1984526048 -0.0289198533 -0.8276645633 1.4444426339 
37.0000000000 0.0847443592 -0.3019301211 -1.2671067318 1.5731884568 
38.0000000000 -0.0070444464 0.4411329405 -1.4871310539 1.4126898843 
39.0000000000 -0.0403858810 0.0753852432 -1.5739542011 1.3075044074 
40.0000000000 -0.0871857445 0.0343593826 -1.4229091526 1.3916989776 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
