K Kernel02 Kernel015 Kernel01 Kernel005 Scenario
1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 
5.0000000000 8.5128205128 8.5128205128 8.5128205128 8.5128205128 8.5128205128 
10.0000000000 28.1538461538 28.1538461538 28.1538461538 28.1538461538 28.1538461538 
25.0000000000 45.1282051282 52.1025641026 55.5384615385 55.7948717949 55.7948717949 
50.0000000000 52.7692307692 60.9230769231 68.4615384615 72.4102564103 72.4102564103 
75.0000000000 52.4102564103 61.7435897436 70.7179487179 78.7179487179 80.4615384615 
100.0000000000 44.3076923077 56.9743589744 68.5641025641 79.2820512821 82.3076923077 
125.0000000000 44.5128205128 56.2051282051 70.3589743590 82.2051282051 88.1538461538 
150.0000000000 45.8974358974 57.8974358974 70.5128205128 83.0256410256 89.4871794872 
175.0000000000 47.0256410256 58.4102564103 71.7435897436 85.4871794872 91.2820512821 
200.0000000000 47.8974358974 60.8205128205 73.2820512821 86.9743589744 93.7948717949 
225.0000000000 47.1282051282 62.2051282051 75.4871794872 88.9743589744 95.2307692308 
250.0000000000 48.6153846154 62.0512820513 73.8461538462 88.2564102564 95.2307692308 
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
