t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Failed2 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Failed3 Successful44 Successful45 Successful46 Successful47 
0.0000000000 -4.9591044184 -4.4511456422 -4.6002663296 -4.4931435108 -4.8860420815 -5.6289894829 -4.9076027086 -5.2011628105 -4.3531228973 -5.1723709195 -5.4290755708 -4.9684447827 -5.6201380482 -4.9918544463 -5.3087895156 -5.0133519594 -5.4103836435 -4.7209081895 -4.8727634542 -4.2233017793 -5.0235009519 -4.9128863945 -5.1692768963 -5.2099060300 -4.4314669572 -4.2793691674 -5.0785854335 -4.0907071368 -4.9426846786 -4.8073835913 -5.0500134075 -5.1821407560 -4.8681790225 -4.7273452366 -5.1566811722 -4.6967739010 -4.9135674682 -4.3069136728 -5.1792344128 -4.5070633342 -4.6195559382 -4.8470937804 -4.8933566907 -4.9564285415 -4.6783139861 -4.9292677073 -5.1074960578 -4.9541424027 -5.1713701892 -5.3954666681 
1.0000000000 -2.2341388870 -3.0415761653 -3.1608554693 -2.5488294847 -2.1892287294 -2.3386256834 -2.1051879339 -2.3938419764 -2.4972128918 -2.9042948078 -3.0144218452 -2.9284769210 -2.8633742342 -2.7286640958 -2.7282969574 -2.8472906889 -2.5657845397 -2.6127400152 -1.6746064685 -2.6049709920 -2.2766933379 -2.6254083884 -2.1649743247 -2.9706561143 -2.7516413875 -3.1110121470 -2.7143094095 -2.4465972203 -2.4188538420 -2.9760104802 -2.9124824564 -2.1419539968 -3.3333867213 -2.6149581058 -2.7229357624 -2.5404094366 -2.3151703603 -2.7542493897 -2.3686902765 -2.5813254227 -2.6840569573 -2.9241705114 -2.6208187270 -2.5553940460 -2.5193369593 -3.0220689597 -1.8257628844 -2.6649954685 -2.7926557134 -2.1329593423 
2.0000000000 -0.5920148518 -0.4237827761 -0.2810255928 -0.8714640460 -0.8204566108 -0.5500992909 -0.8603897400 -0.2221469609 -1.1345399868 -1.2005113159 -0.5464865862 -1.1341520872 -0.3042662364 -0.7690470026 -0.6998857381 -2.0791737600 -1.1227267398 -3.3380380980 -0.9520327432 -0.6311479126 -0.8337470860 -0.4479284911 -0.3681166754 0.1415753712 -0.9184167054 -0.7923447729 -4.7587535483 -0.2321218980 -0.8175883577 -0.4895979812 -0.8491429008 -0.0114587142 -0.4074448043 -1.1142577311 -0.9134901192 -0.3086206655 -1.1648885900 0.0452253472 -1.2848638704 -0.7474130018 -0.9360572624 -0.6172079093 -0.6767589493 -0.5728393636 -0.0476238076 -0.9224871757 1.4470949011 -0.7775340414 -0.9060612725 -6.0527831193 
3.0000000000 -0.8887422350 -0.3878634488 -0.5720491884 -1.1478332298 0.0002219892 -0.0633232191 -0.4145413553 -0.6126407755 -0.7425494308 -1.1511958636 -1.0990992547 -0.3543933095 -0.4714128641 -1.3624061753 -0.4871213608 -2.0610665720 -0.8572275789 -3.3620725762 -0.4533615611 -0.6117449067 -0.7898862847 -1.1487586111 -0.2717512404 -0.0009354989 -0.7733092805 -1.1958172910 -8.1423169212 0.2295572264 -1.0133132394 -0.3292285915 -1.3360266067 -0.4393191886 -0.4244680765 -0.9247123296 -0.2073202471 -0.4338870410 -1.1224228918 0.2809477425 -0.2020806823 -0.0390127616 -0.4511858203 -0.6131847157 -0.7713930712 -0.3844351468 -0.3897589350 -0.7588166645 1.8915247102 -0.4175339633 -1.4111129252 -9.4283068126 
4.0000000000 -2.4105986479 -2.0813351592 -2.7182693604 -3.3881750290 -2.6727349756 -2.2151601190 -3.0952889695 -2.7655595159 -1.8121372737 -2.3831836506 -2.7573654055 -1.2236203526 -2.4720282715 -3.4609437504 -2.4595113210 -1.6077927479 -1.4277064911 -4.2130412911 -2.8341695031 -1.4116494950 -2.3239649631 -2.2714819957 -2.6280474382 -2.3517701575 -2.2760811126 -2.6763653175 -8.7456526551 -1.8117132036 -2.6116311720 -2.8117663276 -2.8860581040 -2.5504612032 -3.3450173268 -2.8583810803 -3.3239630998 -3.4159660228 -3.1448892744 -2.3429475393 -1.7345339803 -2.0992160156 -2.0583597773 -2.8205113490 -2.4973917472 -2.4017338095 -2.5995766919 -2.1168891231 -0.5414739594 -1.9473909234 -2.3975232370 -8.9913583021 
5.0000000000 -5.6594016035 -6.1427746482 -6.4313697793 -6.1354664851 -5.2243422265 -6.2682706288 -5.8288736034 -6.0829954117 -3.9488531687 -3.5651250035 -5.8668636291 -2.9746861329 -5.9566728801 -6.7741302095 -5.8161634844 -2.8712731537 -3.8991283915 -3.5253803129 -4.1578862851 -3.5201277340 -3.6812516324 -5.6290757064 -6.0357837677 -5.6145322919 -6.3562488217 -6.3442051033 -4.2556231112 -2.6350397986 -6.0351283958 -5.9381550379 -3.8109487938 -6.0661737250 -6.1062041339 -6.7789606734 -7.0089296475 -6.3549750988 -6.0037353262 -5.6973119412 -3.8589429435 -6.4985941676 -5.2236403046 -5.7094033109 -6.1062556652 -5.8115257502 -5.9220816975 -5.4021452327 -3.7783659131 -6.0547271098 -3.1090324133 -3.9110141452 
6.0000000000 -9.1628046891 -8.6663081674 -8.9969064672 -8.3787488696 -8.9802677221 -8.6011099783 -8.4858401605 -8.8360181427 -4.3133202594 -3.6961234585 -9.4319834956 -3.2397279564 -8.6260490547 -9.3524226726 -9.4024504334 -3.5750811626 -3.9650768124 -2.8584379532 -3.3513967799 -4.0676748528 -3.6882162750 -8.7875570810 -8.5550312053 -8.8685981964 -8.3264159099 -8.7913649304 -4.5047518682 -4.2887465854 -8.8786480168 -9.4746348561 -3.9333564591 -9.9672966334 -9.4491908077 -8.9617846549 -8.4975350654 -8.4375332261 -9.0201669823 -9.5753546384 -3.5493711011 -9.7429887221 -8.9076224567 -8.5533949727 -9.0421050882 -9.4536052851 -8.9233884440 -8.8459073501 -3.6633852821 -9.0131209516 -2.9573104487 -4.0558186663 
7.0000000000 -9.8749230725 -10.0982692985 -11.2165364716 -10.0193888048 -9.8327020072 -9.6764637420 -10.2436933348 -9.9442251526 -3.8982713592 -4.6252276934 -10.6143655010 -3.3093480824 -10.0408645072 -10.8471244566 -9.8570883534 -4.4065861713 -3.7835892784 -3.8240872318 -3.3630904302 -3.6958551701 -3.2988000403 -10.0910742628 -10.5773657790 -9.9121132714 -10.1981886889 -10.5166524916 -3.7727209607 -3.6321443660 -10.5321055552 -10.5911527880 -4.1953013035 -10.5145785611 -9.9714986592 -10.2969591160 -10.3401816154 -9.5974443984 -9.8990550092 -10.2028239957 -3.5503047623 -10.7531103595 -10.1864507744 -10.6306289837 -9.9412999573 -10.7777198769 -9.9922370451 -9.3965048911 -3.6084850391 -10.1420928088 -3.2126551127 -3.3703744594 
8.0000000000 -10.8847483079 -10.6472717250 -11.3297633151 -10.2338824280 -10.6380831611 -10.2708050994 -10.6126026782 -10.7519438902 -3.6333260361 -3.9648658209 -10.7397234564 -4.1203976870 -10.9540033824 -10.9350244887 -9.8489977065 -3.8668060997 -4.7479683728 -3.2230437610 -3.3103891040 -4.0464442816 -3.7990460829 -10.7549996097 -9.9872464595 -11.2923750954 -10.2541200628 -10.6066329100 -3.2743833485 -3.8494582651 -11.3237586902 -10.6472774527 -3.4007122152 -10.6020375060 -10.8884608292 -11.2427669242 -11.1074953482 -10.3005351936 -10.4944753800 -9.8423785678 -3.5729867767 -11.9152118788 -10.2982658869 -9.9049779873 -10.5511737309 -11.8187821435 -11.4661540646 -9.1854958062 -3.7818788439 -10.1911405966 -3.5964794068 -2.8840522105 
9.0000000000 -11.7926311575 -11.6239547416 -11.3959825322 -10.5781356058 -11.6765256721 -10.5123497750 -10.6639725752 -11.1709919041 -3.4583138874 -2.9600193050 -11.0449362152 -3.7428518219 -11.2156102164 -11.4501922078 -11.2165970464 -3.7764833106 -4.8055178542 -3.9382879549 -3.4233629384 -3.2636182791 -3.3683472964 -10.8255712781 -11.3468929916 -11.3882282751 -11.3054121248 -11.1747822456 -3.4742818686 -3.5032579784 -11.3309385824 -10.9211378809 -3.9856792434 -10.1892690981 -10.7618845943 -10.3470270480 -11.4135462335 -11.3320359001 -10.5152965792 -10.8143347150 -3.8985125423 -11.5525065493 -10.7313483763 -10.8394382373 -10.9307866845 -10.4189483742 -10.9560006152 -10.7462267808 -3.5803233008 -11.0123259549 -3.5691546565 -3.4382923427 
