t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8906341349 -4.8836050101 -6.2417973804 -3.7103643841 
1.0000000000 -2.4005081444 -2.5380622488 -4.4365753812 -1.0046393247 
2.0000000000 0.1000629878 0.0254082748 -1.1510098859 1.2920046453 
3.0000000000 2.1525970885 1.7886662991 1.1154540923 3.2772306937 
4.0000000000 3.5367656369 3.4541808434 2.3073183093 4.5803001820 
5.0000000000 3.8851526799 4.1991406041 2.5117317937 4.9014096229 
6.0000000000 2.9915661610 3.3311638249 1.7755747145 4.2714344257 
7.0000000000 0.6211268142 0.5204728008 -0.5958320062 1.6493753133 
8.0000000000 -3.0962434250 -3.8117507725 -4.5452599241 -1.9071559417 
9.0000000000 -7.3535438620 -7.3500189161 -8.9950732951 -6.0918900372 
10.0000000000 -10.6778128926 -10.4354490248 -12.0201045058 -9.5712368026 
11.0000000000 -11.0310986374 -10.6479047536 -12.4779258424 -9.6070445573 
12.0000000000 -10.6712576664 -10.2400277970 -11.7891989462 -9.4038883499 
13.0000000000 -10.6165228751 -10.2669704290 -12.1955403047 -9.4811753281 
14.0000000000 -10.6385363729 -10.8935254667 -11.6736665999 -9.4041591757 
15.0000000000 -10.7049094026 -10.7890081467 -12.0746575865 -9.3119208397 
16.0000000000 -10.6516299356 -10.6862089865 -12.2001520350 -9.5337426530 
17.0000000000 -10.6411936251 -10.9351773497 -12.1065485650 -9.4467609375 
18.0000000000 -10.7193625827 -10.1949514968 -12.4279288296 -9.3000664505 
19.0000000000 -11.0527694864 -11.0197628011 -12.1599116623 -9.7984474156 
20.0000000000 -10.6296330763 -10.4980255693 -11.6703638523 -9.5225489705 
21.0000000000 -7.3655145902 -7.5569071533 -8.6839021671 -6.4168195287 
22.0000000000 -3.5792342039 -4.0652536632 -4.7188361077 -2.3630271665 
23.0000000000 -0.9328995312 -0.7259157473 -2.1525740258 0.1204902456 
24.0000000000 0.1252783336 0.0874135516 -1.0387666278 1.6552348863 
25.0000000000 0.0110113983 0.4590855891 -1.7514721682 1.4761192375 
26.0000000000 -0.0255145940 0.7811297369 -1.2638803974 1.5428834303 
27.0000000000 0.9594728100 0.7155293272 -0.3446069938 2.2818426305 
28.0000000000 3.6007481236 3.3289731983 2.1903416011 4.9067348053 
29.0000000000 7.3610944875 6.7186770580 6.3128663121 8.4935528051 
30.0000000000 10.6197998247 10.2438481339 9.3674434774 11.7391956159 
31.0000000000 10.9450926281 10.9321144996 9.6981740402 12.2713448370 
32.0000000000 10.6131925101 10.9613717266 9.5567203989 11.9349300787 
33.0000000000 10.6557555971 10.8660501537 9.5139751015 11.7881604548 
34.0000000000 10.6303673011 10.9525321259 9.4685782477 11.8302676503 
35.0000000000 10.6427170573 10.8226219237 9.5425946622 12.1967721354 
36.0000000000 10.6455719245 10.3086900865 9.5032886742 11.7558243711 
37.0000000000 10.6413869332 10.4081508519 9.5057560523 12.1618140807 
38.0000000000 10.6559849390 10.9580905263 9.4440985582 12.4465504768 
39.0000000000 11.0526401038 11.0486279468 9.3925720269 12.3573772796 
40.0000000000 10.7113297222 10.5493530413 9.3379601340 11.7055627157 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
