K Kernel04 Kernel03 Kernel02 Kernel01 Scenario
1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 
5.0000000000 1.4285714286 1.4285714286 1.4285714286 1.4285714286 1.4285714286 
10.0000000000 35.0000000000 35.0000000000 35.0000000000 35.0000000000 35.0000000000 
25.0000000000 61.9047619048 61.3333333333 61.3333333333 61.3333333333 61.3333333333 
50.0000000000 74.5714285714 77.8095238095 75.4761904762 75.4761904762 75.4761904762 
100.0000000000 85.3333333333 88.1904761905 89.2857142857 88.6190476190 88.6190476190 
150.0000000000 87.7619047619 90.4761904762 93.0952380952 94.5714285714 93.8571428571 
200.0000000000 87.7619047619 90.7142857143 93.4761904762 96.0476190476 94.7619047619 
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
            
