K Kernel04 Kernel03 Kernel02 Scenario
1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 
5.0000000000 21.0526315789 21.0526315789 21.0526315789 21.0526315789 
10.0000000000 44.4210526316 44.4210526316 44.4210526316 44.4210526316 
25.0000000000 59.0526315789 58.7894736842 58.7894736842 58.7894736842 
50.0000000000 75.9473684211 77.8421052632 74.6842105263 74.6842105263 
100.0000000000 76.6842105263 80.6315789474 83.0000000000 82.1578947368 
200.0000000000 84.5789473684 89.0526315789 93.8421052632 93.5789473684 
300.0000000000 86.0526315789 89.6842105263 93.5263157895 95.6842105263 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
