t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8896618204 -4.8836050101 -5.9656388763 -3.9566020328 
1.0000000000 -2.4145035591 -2.5972687173 -3.5558635320 -1.0712188735 
2.0000000000 0.1109839451 0.0445423320 -1.4223872823 1.2211128265 
3.0000000000 2.2566939038 3.0184039019 1.1037592189 3.5322915765 
4.0000000000 3.6210345564 4.2572194028 2.6069075868 4.9084614942 
5.0000000000 3.9668887345 3.9786862697 2.9054779048 5.2190953053 
6.0000000000 3.0781096066 2.3134839231 1.9792893039 4.3495870059 
7.0000000000 0.6982144045 0.4512667161 -0.5788211516 1.9546451720 
8.0000000000 -3.0125447385 -2.9459805592 -3.9425674578 -1.5730165952 
9.0000000000 -7.3282416565 -6.8921445383 -8.5314597593 -6.1150865632 
10.0000000000 -10.8810740684 -11.3817847960 -12.2455354136 -9.7676489706 
11.0000000000 -11.3817609183 -11.8264170979 -12.5839207474 -10.1709505807 
12.0000000000 -11.1481176151 -11.2684370215 -12.3650256712 -9.8805038575 
13.0000000000 -10.9832796595 -10.8267594446 -12.1949904876 -10.0033299074 
14.0000000000 -11.0768316278 -11.3665871042 -12.1940928616 -9.9232287010 
15.0000000000 -11.1509237434 -11.1981092764 -12.5425110697 -9.5804195173 
16.0000000000 -11.0849555946 -11.3447704721 -12.2297144153 -9.7382659162 
17.0000000000 -11.0555948784 -10.6654498334 -12.2492071687 -9.8264520674 
18.0000000000 -11.2901801489 -10.6353320384 -12.6079110255 -9.8184210518 
19.0000000000 -11.5532887486 -11.3378299535 -12.7533382103 -10.5277177868 
20.0000000000 -10.9629201253 -10.8448479083 -12.4557386296 -9.7500424285 
21.0000000000 -7.4388495975 -7.7241683558 -8.5301806890 -6.3068212181 
22.0000000000 -3.5529949702 -3.4780890122 -4.9684096883 -2.4656522431 
23.0000000000 -0.8932206451 -1.0516625273 -2.4414381904 0.5324169065 
24.0000000000 0.1303049295 0.7622289655 -1.2294120168 1.3083430669 
25.0000000000 0.0534408799 0.3578240292 -1.2790413611 1.2375978507 
26.0000000000 -0.0904118587 -0.0662942949 -1.1343119136 0.8804707812 
27.0000000000 0.9669685239 0.8044429176 -0.1113228490 2.0428164699 
28.0000000000 3.5559113881 3.9456136491 2.5822177527 4.5696835845 
29.0000000000 7.4548996292 7.3243670699 6.3818465362 8.6573180188 
30.0000000000 10.8796711434 10.7975457747 9.7305302662 12.0345030502 
31.0000000000 11.4359567691 11.1427479976 10.2399616445 12.5127747492 
32.0000000000 11.1086618405 10.9991624572 10.0276647054 12.7076090113 
33.0000000000 10.9763295639 11.1970141172 9.8793530994 12.2382608305 
34.0000000000 11.1073115500 10.8865369594 9.8231509012 12.5354137957 
35.0000000000 11.1476146092 10.9486097503 9.7578415474 12.3334888434 
36.0000000000 11.1176961956 10.7727465692 10.0028932506 12.5403981237 
37.0000000000 11.1068666541 11.2374792457 9.6422571845 12.4400592616 
38.0000000000 11.1618608661 11.1844710432 10.0237281725 12.5028989696 
39.0000000000 11.3949582933 11.4013966474 10.3036963608 12.9401042016 
40.0000000000 10.8930882073 10.1516765160 9.2413552766 12.0775132263 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
