t y_pred y_true y_opt_min y_opt_max
0.0000000000 -4.1611037539 -4.1340786210 -5.2853703485 -3.1134534869 
1.0000000000 -2.3695413664 -2.8143359513 -3.6251834291 -1.1968321194 
2.0000000000 -0.6227502553 -0.8872665983 -1.7738098796 0.7110985139 
3.0000000000 0.6538627294 0.6703056358 -0.4079354442 1.7267438283 
4.0000000000 1.1551020193 1.2910044524 -0.5558209715 2.4746368400 
5.0000000000 1.1222244167 1.3430644344 -0.6162831179 2.4172820213 
6.0000000000 0.7622825208 0.8303996494 -0.4913182878 2.1431130131 
7.0000000000 0.3194967750 0.6578335496 -1.1651642470 1.4828398450 
8.0000000000 0.0175854934 0.3396497687 -1.2884000641 1.1882174296 
9.0000000000 0.0009578167 -0.1751845081 -1.1857455396 1.0407244549 
10.0000000000 0.0371892873 -0.7004840789 -1.2670469938 1.6835928528 
11.0000000000 0.0731499455 0.0517904344 -1.4738955004 2.2649835308 
12.0000000000 0.0265154730 -0.2640850880 -1.3248484921 1.3517555837 
13.0000000000 -0.1188755826 -0.1702403809 -1.3502048198 1.0441578492 
14.0000000000 -0.4487000764 -0.0258997967 -2.0567281507 0.7758654565 
15.0000000000 -0.8296128743 -0.4905399437 -2.2821514480 0.6371671728 
16.0000000000 -1.0884552199 -0.8546921436 -2.4732259120 0.9048432551 
17.0000000000 -1.0492398404 -0.9786236792 -2.5326200338 0.3000375117 
18.0000000000 0.2011146286 0.3143740840 -1.1390158388 1.5886296442 
19.0000000000 1.4166255055 1.6200053015 -0.0003774802 3.1095148220 
20.0000000000 2.5423687427 2.7433840357 1.1881015604 3.8768245652 
21.0000000000 3.1440688881 2.9367140578 1.0140315592 4.3519281506 
22.0000000000 3.7207002583 4.5857547221 2.0728371294 4.9699586104 
23.0000000000 3.9645894135 4.7787234550 2.5009903823 5.5072617649 
24.0000000000 3.7072038481 4.1174264385 2.1100156098 5.2874287116 
25.0000000000 2.8426288403 2.8981000262 1.3631276695 4.1201589346 
26.0000000000 1.4904936157 0.7191940282 0.1647568379 2.8242233913 
27.0000000000 0.1723927415 -0.4053656922 -1.3946635010 1.9125907184 
28.0000000000 -0.6152532034 -0.9822856237 -2.0354605372 0.8549989379 
29.0000000000 -0.8917247893 -1.3599220100 -2.3228889750 0.8191035634 
30.0000000000 -0.8184487980 -1.3328718936 -2.1283603363 0.5396676561 
31.0000000000 -0.4571151506 -0.7534529523 -2.1717859503 0.8713273623 
32.0000000000 -0.1694612398 -0.2961166200 -1.2699710860 1.2392796242 
33.0000000000 0.0555266723 0.3313585727 -1.1693388361 1.6566476186 
34.0000000000 0.2227749789 0.7188923385 -1.1607118422 2.0066519803 
35.0000000000 0.1925078818 0.0098726873 -0.8647372329 1.6279323069 
36.0000000000 0.1803862429 -0.0490142610 -0.8528309183 1.4289100301 
37.0000000000 0.0724086679 -0.3063668519 -1.2724313978 1.5681231404 
38.0000000000 -0.0124594250 0.4480119132 -1.4947618236 1.4102761753 
39.0000000000 -0.0401660402 0.0871101510 -1.5703774242 1.3061820087 
40.0000000000 -0.0837858566 0.0453426009 -1.4205182768 1.4018961991 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
