t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8906341349 -4.8836050101 -6.2417973804 -3.7103643841 
1.0000000000 -2.4003621070 -2.5380622488 -4.4365958200 -1.0045878587 
2.0000000000 0.1085559525 0.0335396623 -1.1423434358 1.3005366906 
3.0000000000 2.1781794666 1.8137196164 1.1408300415 3.3025144032 
4.0000000000 3.5832838849 3.5001943625 2.3543359250 4.6273399319 
5.0000000000 3.9458299410 4.2596514165 2.5729551239 4.9620411544 
6.0000000000 3.0451559679 3.3852781472 1.8294695575 4.3243169401 
7.0000000000 0.6328280119 0.5336307007 -0.5833468554 1.6608130038 
8.0000000000 -3.1663101125 -3.8794966484 -4.6168698607 -1.9751081745 
9.0000000000 -7.5330670148 -7.5269220101 -9.1779951367 -6.2696306153 
10.0000000000 -10.9584736228 -10.7143290442 -12.3016962286 -9.8489540176 
11.0000000000 -11.3473192810 -10.9629265767 -12.7956610443 -9.9215985600 
12.0000000000 -10.9893909009 -10.5573322020 -12.1088575987 -9.7196522092 
13.0000000000 -10.9071205174 -10.5560037558 -12.4871668519 -9.7695377836 
14.0000000000 -10.9286038795 -11.1806771799 -11.9645174080 -9.6955202117 
15.0000000000 -11.0355103366 -11.1171057690 -12.4067454319 -9.6418114538 
16.0000000000 -10.9611817201 -10.9935132440 -12.5151226507 -9.8414488109 
17.0000000000 -10.9235944583 -11.2134700749 -12.3923517272 -9.7267611239 
18.0000000000 -11.0862554101 -10.5585504067 -12.7977151680 -9.6660251731 
19.0000000000 -11.4237967317 -11.3889477734 -12.5318491999 -10.1634202251 
20.0000000000 -10.9410164979 -10.8094029716 -11.9792461148 -9.8290278563 
21.0000000000 -7.5497695103 -7.7417001072 -8.8700375686 -6.6023707763 
22.0000000000 -3.6482289292 -4.1342981719 -4.7876397480 -2.4267092709 
23.0000000000 -0.9312956433 -0.7235667029 -2.1517726628 0.1182853789 
24.0000000000 0.1530188842 0.1162728351 -1.0099414501 1.6820775974 
25.0000000000 0.0435294907 0.4922870997 -1.7213955084 1.5095113835 
26.0000000000 0.0215308105 0.8276826957 -1.2153676474 1.5888713894 
27.0000000000 1.0543953169 0.8085112913 -0.2491751187 2.3781030442 
28.0000000000 3.7798222113 3.5051035511 2.3689604040 5.0848691589 
29.0000000000 7.6345870130 6.9894338222 6.5832595083 8.7696700676 
30.0000000000 10.9426982630 10.5660049172 9.6889016865 12.0642912852 
31.0000000000 11.2028539910 11.1890944104 9.9541641513 12.5280608764 
32.0000000000 10.8429343937 11.1877408462 9.7871341027 12.1683766017 
33.0000000000 10.9880575975 11.1970999453 9.8445565616 12.1189338074 
34.0000000000 10.8852757441 11.2047556871 9.7256770981 12.0846387831 
35.0000000000 10.9360039072 11.1119946666 9.8324962291 12.4907583014 
36.0000000000 11.0153395649 10.6765328912 9.8716774283 12.1308668630 
37.0000000000 10.9499486659 10.7148751503 9.8099070487 12.4759519943 
38.0000000000 10.9401660673 11.2395714470 9.7245237162 12.7347310339 
39.0000000000 11.3647854813 11.3577510855 9.7025601889 12.6686534489 
40.0000000000 11.0471664691 10.8838929548 9.6758757176 12.0445407491 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
