t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8896618204 -4.8836050101 -5.9656388763 -3.9566020328 
1.0000000000 -2.4145214292 -2.5972687173 -3.5558596584 -1.0712440966 
2.0000000000 0.1101618417 0.0434705616 -1.4232907394 1.2202483567 
3.0000000000 2.2717859847 3.0327834913 1.1188249754 3.5481631111 
4.0000000000 3.6725407362 4.3076959076 2.6580797122 4.9590230500 
5.0000000000 4.0604743635 4.0714530012 2.9997901796 5.3134785242 
6.0000000000 3.1903264046 2.4257839715 2.0919992993 4.4627158238 
7.0000000000 0.7764041829 0.5308717046 -0.4996311838 2.0311450331 
8.0000000000 -3.0299016050 -2.9608842854 -3.9633499864 -1.5895182341 
9.0000000000 -7.4730373506 -7.0347062043 -8.6801488908 -6.2596718589 
10.0000000000 -11.1133980687 -11.6140549399 -12.4789430240 -10.0000000001 
11.0000000000 -11.5724795234 -12.0182713942 -12.7749241384 -10.3621575209 
12.0000000000 -11.2689763805 -11.3915184769 -12.4868780456 -10.0000000012 
13.0000000000 -10.9840104761 -10.8265765460 -12.1950500811 -10.0000000007 
14.0000000000 -11.1568515906 -11.4395821972 -12.2725822380 -10.0000000006 
15.0000000000 -11.5723972808 -11.6182960546 -12.9656295111 -10.0000000001 
16.0000000000 -11.3460002410 -11.6059648759 -12.4877982391 -10.0000000004 
17.0000000000 -11.2277406851 -10.8368714413 -12.4206391363 -10.0000000005 
18.0000000000 -11.4703695991 -10.8135798371 -12.7891727738 -10.0000000008 
19.0000000000 -11.7811641741 -11.5634453249 -12.9808860003 -10.7567028277 
20.0000000000 -11.2156586127 -11.0962379982 -12.7087998498 -10.0000000001 
21.0000000000 -7.6514128246 -7.9359726426 -8.7445463237 -6.5165010930 
22.0000000000 -3.7160680489 -3.6404747439 -5.1319993160 -2.6278551573 
23.0000000000 -1.0202754332 -1.1779862465 -2.5694300327 0.4057768024 
24.0000000000 0.0332894311 0.6655987877 -1.3272839883 1.2120878771 
25.0000000000 0.0048769222 0.3087347176 -1.3266111887 1.1899984918 
26.0000000000 -0.0522519879 -0.0298069521 -1.0922789543 0.9201019603 
27.0000000000 1.1256251854 0.9607407497 0.0472839042 2.2006589939 
28.0000000000 3.8315981196 4.2194012810 2.8579745536 4.8457108342 
29.0000000000 7.7841351514 7.6535133604 6.7092310852 8.9895823065 
30.0000000000 11.1447944060 11.0651286740 10.0000000001 12.2988882180 
31.0000000000 11.5114789551 11.2201748155 10.3141698099 12.5891151864 
32.0000000000 11.0778832729 10.9654564554 10.0000000025 12.6786188815 
33.0000000000 11.0982103024 11.3155415321 10.0000000007 12.3590914224 
34.0000000000 11.2817954669 11.0574047830 10.0000000003 12.7078058785 
35.0000000000 11.3888174135 11.1915838328 10.0000000001 12.5712975867 
36.0000000000 11.1306133844 10.7802641613 10.0159877803 12.5535962023 
37.0000000000 11.4662607819 11.5940450807 10.0000000003 12.8020551787 
38.0000000000 11.5327068856 11.5500227106 10.3975027469 12.8677677809 
39.0000000000 11.9768501228 11.9771997154 10.8822764055 13.5258464337 
40.0000000000 11.6520846463 10.9099995989 10.0000000000 12.8470830020 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
