N Kernel Scenario 
10.0000000000 4.2381425000 2.6908229000 
20.0000000000 7.5918237000 3.3369357000 
30.0000000000 11.4506421000 4.5509752000 
40.0000000000 15.0278996000 6.0388696000 
50.0000000000 19.7936912000 7.6234896000 
60.0000000000 26.2318717000 9.3391754000 
70.0000000000 33.3201723000 11.0484437000 
80.0000000000 41.9116534000 13.3935554000 
90.0000000000 51.5309014000 15.5784042000 
100.0000000000 62.7891312000 17.9673547000 
110.0000000000 74.8934309000 20.1912219000 
120.0000000000 87.0480358000 22.8257834000 
130.0000000000 101.1720769000 25.9546905000 
140.0000000000 117.1404214000 28.7201980000 
150.0000000000 134.5459901000 31.4459336000 
160.0000000000 153.3241653000 34.9874361000 
170.0000000000 176.5692329000 38.3668210000 
180.0000000000 199.9446081000 41.9901550000 
190.0000000000 225.4994798000 45.9373582000 
200.0000000000 255.3312408000 50.5451896000 
210.0000000000 285.6910423000 54.0479423000 
220.0000000000 319.8171545000 58.2758025000 
230.0000000000 353.6275695000 62.2079471000 
240.0000000000 388.2380549000 66.9403420000 
250.0000000000 423.5681370000 72.0766593000 
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
      
