t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8896618204 -4.8836050101 -5.9656388763 -3.9566020328 
1.0000000000 -2.4146527237 -2.5972687173 -3.5558311988 -1.0714294149 
2.0000000000 0.1018868397 0.0355960801 -1.4314461560 1.2120326554 
3.0000000000 2.2427641391 3.0043952105 1.0898919130 3.5185453905 
4.0000000000 3.6165071324 4.2522659126 2.6023177250 4.9034657560 
5.0000000000 3.9867887618 3.9979511330 2.9254629630 5.2395024266 
6.0000000000 3.1258713369 2.3608009118 2.0273183149 4.3973884412 
7.0000000000 0.7563094763 0.5096001626 -0.5205501317 2.0124572047 
8.0000000000 -2.9818444763 -2.9140897882 -3.9133941783 -1.5423206385 
9.0000000000 -7.3668814783 -6.9289494851 -8.5727186053 -6.1541805410 
10.0000000000 -11.0051069419 -11.5044165240 -12.3718327405 -9.8914046216 
11.0000000000 -11.5494342091 -11.9931922044 -12.7510953456 -10.3383790646 
12.0000000000 -11.3357485232 -11.4567967239 -12.5520950706 -10.0699051592 
13.0000000000 -11.0987586832 -10.9422126839 -12.3098307059 -10.1170636329 
14.0000000000 -11.1926340635 -11.4821530147 -12.3106605264 -10.0392156788 
15.0000000000 -11.2467823052 -11.2924148791 -12.6393277979 -9.6773288994 
16.0000000000 -11.2249444556 -11.4809736775 -12.3715323444 -9.8767034422 
17.0000000000 -11.3334663344 -10.9416757517 -12.5264210323 -10.1050208143 
18.0000000000 -11.5225981773 -10.8673048911 -12.8402583891 -10.0507517148 
19.0000000000 -11.7280585436 -11.5126969369 -12.9273918770 -10.7025248389 
20.0000000000 -11.0805377890 -10.9627675362 -12.5736408852 -9.8667559766 
21.0000000000 -7.4964055849 -7.7815831653 -8.5900792175 -6.3620816299 
22.0000000000 -3.5785542864 -3.5028969376 -4.9940008867 -2.4903204241 
23.0000000000 -0.9136793739 -1.0711051279 -2.4635470372 0.5135179844 
24.0000000000 0.1068340762 0.7394107889 -1.2545560053 1.2863110791 
25.0000000000 0.0430263594 0.3471502373 -1.2890083106 1.2280485372 
26.0000000000 -0.0559582238 -0.0331484998 -1.0985478264 0.9159006653 
27.0000000000 1.0743894675 0.9099522436 -0.0036995835 2.1502576116 
28.0000000000 3.7373541937 4.1254920395 2.7643258148 4.7512091158 
29.0000000000 7.6675307708 7.5369027042 6.5938497352 8.8720321474 
30.0000000000 11.0373017626 10.9573167048 9.8904575670 12.1915203057 
31.0000000000 11.4371619701 11.1450216675 10.2412525313 12.5145286577 
32.0000000000 11.0713126559 10.9573246894 9.9945962951 12.6721191875 
33.0000000000 11.1935972308 11.4109797677 10.0967925266 12.4569600033 
34.0000000000 11.3618860187 11.1398685530 10.0770322818 12.7868226043 
35.0000000000 11.3545852477 11.1556593177 9.9632382991 12.5408713050 
36.0000000000 11.2655261450 10.9179291307 10.1491771902 12.6865286267 
37.0000000000 11.3850395846 11.5162448121 9.9194365714 12.7207977881 
38.0000000000 11.2979601842 11.3198912837 10.1607713447 12.6376658177 
39.0000000000 11.5389495415 11.5432106194 10.4464071010 13.0842202480 
40.0000000000 11.0957804524 10.3532561065 9.4425070038 12.2836119740 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
