A_1 A_2 A_3 A_4 A_5 
0.000000 -4.890634 -4.883605 -6.241797 -3.710364 
1.000000 -2.400362 -2.538062 -4.436596 -1.004588 
2.000000 0.108556 0.033540 -1.142343 1.300537 
3.000000 2.178179 1.813720 1.140830 3.302514 
4.000000 3.583284 3.500194 2.354336 4.627340 
5.000000 3.945830 4.259651 2.572955 4.962041 
6.000000 3.045156 3.385278 1.829470 4.324317 
7.000000 0.632828 0.533631 -0.583347 1.660813 
8.000000 -3.166310 -3.879497 -4.616870 -1.975108 
9.000000 -7.533067 -7.526922 -9.177995 -6.269631 
10.000000 -10.958474 -10.714329 -12.301696 -9.848954 
11.000000 -11.347319 -10.962927 -12.795661 -9.921599 
12.000000 -10.989391 -10.557332 -12.108858 -9.719652 
13.000000 -10.907121 -10.556004 -12.487167 -9.769538 
14.000000 -10.928604 -11.180677 -11.964517 -9.695520 
15.000000 -11.035510 -11.117106 -12.406745 -9.641811 
16.000000 -10.961182 -10.993513 -12.515123 -9.841449 
17.000000 -10.923594 -11.213470 -12.392352 -9.726761 
18.000000 -11.086255 -10.558550 -12.797715 -9.666025 
19.000000 -11.423797 -11.388948 -12.531849 -10.163420 
20.000000 -10.941016 -10.809403 -11.979246 -9.829028 
21.000000 -7.549770 -7.741700 -8.870038 -6.602371 
22.000000 -3.648229 -4.134298 -4.787640 -2.426709 
23.000000 -0.931296 -0.723567 -2.151773 0.118285 
24.000000 0.153019 0.116273 -1.009941 1.682078 
25.000000 0.043529 0.492287 -1.721396 1.509511 
26.000000 0.021531 0.827683 -1.215368 1.588871 
27.000000 1.054395 0.808511 -0.249175 2.378103 
28.000000 3.779822 3.505104 2.368960 5.084869 
29.000000 7.634587 6.989434 6.583260 8.769670 
30.000000 10.942698 10.566005 9.688902 12.064291 
31.000000 11.202854 11.189094 9.954164 12.528061 
32.000000 10.842934 11.187741 9.787134 12.168377 
33.000000 10.988058 11.197100 9.844557 12.118934 
34.000000 10.885276 11.204756 9.725677 12.084639 
35.000000 10.936004 11.111995 9.832496 12.490758 
36.000000 11.015340 10.676533 9.871677 12.130867 
37.000000 10.949949 10.714875 9.809907 12.475952 
38.000000 10.940166 11.239571 9.724524 12.734731 
39.000000 11.364785 11.357751 9.702560 12.668653 
40.000000 11.047166 10.883893 9.675876 12.044541 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
